Div,HomeTeam,year,win
E0,Fulham,2018,3
E0,Huddersfield,2018,3
E0,West Brom,2018,2
E0,Stoke,2018,1
E0,Tottenham,2017,16
E0,Arsenal,2017,16
E0,Man City,2017,15
E0,Chelsea,2017,16
E0,Everton,2017,15
E0,Liverpool,2017,11
E0,Man United,2017,11
E0,Leicester,2017,9
E0,Stoke,2017,8
E0,Burnley,2017,8
E0,Bournemouth,2017,7
E0,Swansea,2017,8
E0,Crystal Palace,2017,7
E0,Watford,2017,7
E0,West Brom,2017,6
E0,Southampton,2017,5
E0,West Ham,2017,6
E0,Hull,2017,6
E0,Huddersfield,2017,4
E0,Brighton,2017,3
E0,Newcastle,2017,3
E0,Middlesbrough,2017,1
E0,Sunderland,2017,0
E0,Man United,2016,13
E0,Leicester,2016,12
E0,Arsenal,2016,12
E0,Liverpool,2016,11
E0,Tottenham,2016,12
E0,Chelsea,2016,10
E0,Southampton,2016,11
E0,West Ham,2016,10
E0,Man City,2016,9
E0,Everton,2016,7
E0,Stoke,2016,7
E0,Bournemouth,2016,8
E0,Sunderland,2016,7
E0,West Brom,2016,7
E0,Swansea,2016,7
E0,Watford,2016,6
E0,Burnley,2016,7
E0,Newcastle,2016,5
E0,Crystal Palace,2016,4
E0,Norwich,2016,3
E0,Middlesbrough,2016,3
E0,Hull,2016,2
E0,Aston Villa,2016,2
E0,Man City,2015,16
E0,Arsenal,2015,13
E0,Tottenham,2015,11
E0,Leicester,2015,11
E0,Chelsea,2015,10
E0,Man United,2015,10
E0,Liverpool,2015,10
E0,Stoke,2015,10
E0,Southampton,2015,9
E0,Everton,2015,7
E0,Crystal Palace,2015,8
E0,West Brom,2015,8
E0,Swansea,2015,6
E0,West Ham,2015,6
E0,Newcastle,2015,4
E0,Sunderland,2015,5
E0,Aston Villa,2015,3
E0,Hull,2015,4
E0,Watford,2015,4
E0,Norwich,2015,3
E0,Bournemouth,2015,2
E0,Burnley,2015,2
E0,QPR,2015,1
E0,Chelsea,2014,15
E0,Arsenal,2014,12
E0,Man City,2014,13
E0,Liverpool,2014,12
E0,Man United,2014,13
E0,Southampton,2014,10
E0,Tottenham,2014,11
E0,West Ham,2014,11
E0,Everton,2014,10
E0,Stoke,2014,10
E0,Swansea,2014,10
E0,Newcastle,2014,8
E0,Crystal Palace,2014,7
E0,Aston Villa,2014,6
E0,West Brom,2014,4
E0,Sunderland,2014,4
E0,QPR,2014,5
E0,Hull,2014,3
E0,Norwich,2014,3
E0,Fulham,2014,3
E0,Burnley,2014,2
E0,Cardiff,2014,2
E0,Leicester,2014,1
E0,Man City,2013,10
E0,Chelsea,2013,9
E0,Liverpool,2013,8
